,Total_sqr_footage,GarageFinish,OverallCond,AllPorchSF,Condition1,OverallQual_3,AllSF,Neighborhood,SimplOverallCond,TotalSF,OverallQual_sq,AllFlrsSF_3,BsmtExposure,GarageYrBlt,MSZoning,CentralAir,YearBuilt,OverallQual,BsmtFinSF1,AllSF_3,OverallGrade,LotArea_log,LotArea,SaleCondition,AllSF_2,Functional,TotalSF_log,YrBltAndRemod,SimplOverallQual_sq,GarageScore_3,SimplFireplaceQu,GarageCars_log,KitchenScore,AllFlrsSF_sq,1stFlrSF_log,HalfBath,Foundation,KitchenQual_sq,FireplaceQu,KitchenQual_3,GarageQual,GrLivArea,GarageScore,TotRmsAbvGrd_log,TotalBsmtSF,YearRemodAdd_log,FullBath,SimplOverallQual,ExterGrade,TotalBath_sq,HalfBath_log,2ndFlrSF_log,SimplExterGrade,GrLivArea_sq,OpenPorchSF_log,AllFlrsSF_2,SimplGarageScore,YearRemodAdd,SimplBsmtFinType1,SaleType,BldgType,TotRmsAbvGrd,SimplOverallGrade,SimplKitchenScore,PavedDrive,2ndFlrSF,GarageCars_sq,LotFrontage,LotFrontage_log,SimplExterQual,GarageCars,GarageArea,SimplGarageCond,Fireplaces,HeatingQC,GarageCond,SimplOverallQual_2,GrLivArea_2,BsmtUnfSF,ExterQual,OverallQual_2,OpenPorchSF,LotShape,GarageScore_2,GrLivArea_3,FireplaceScore,BsmtFullBath,BsmtFinType1,SimplGarageQual,GarageScore_sq,SimplFireplaceScore,KitchenQual_2,BsmtUnfSF_log,BedroomAbvGr,TotalBath_3,hasfireplace,MoSold,ExterQual_3,SimplHeatingQC,SimplBsmtQual,AllSF_sq,BsmtQual,YrSold,BsmtFinSF1_log,TotalBath_2,ScreenPorch_log,hasgarage,MasVnrArea,GarageArea_log,WoodDeckSF_log,GarageType,TotalBsmtSF_log,ExterQual_sq,TotalBath,KitchenQual,GarageCars_3,SimplFunctional,AllFlrsSF,1stFlrSF,ScreenPorch,GrLivArea_log,GarageGrade,Fireplaces_log,BsmtFullBath_log,ExterQual_2,SimplOverallQual_3,GarageCars_2,SimplKitchenQual,y
10,1946,Unf,5,0,Norm,125,2080,Sawyer,2,2080,2.23606797749979,1124864000,0.0,1965.0,RL,Y,1965,5,906,8998912000,25,9.32375833901174,11200,Normal,4326400,8,7.640603826393634,3930,1.4142135623730951,1528823808.0,,0.6931471805599453,3,32.2490309931942,6.947937068614969,0,CBlock,1.7320508075688772,,27,3.0,1040,1152.0,1.791759469228055,1040,7.583756300707112,1,2,9,1.4142135623730951,0.0,0.0,1,32.2490309931942,0.0,1081600,384.0,1965,1.0,WD,1Fam,5,4,1,2,0,1.0,70.0,4.2626798770413155,1,1,384,1.0,0,5,3.0,4,1081600,134,3,25,0,4,1327104.0,1124864000,,1,3.0,1.0,33.94112549695428,,9,4.90527477843843,3,8.0,0,2,27,2,1.0,45.60701700396552,3.0,2008,6.810142450115136,4.0,0.0,1,0.0,5.953243334287785,0.0,Detchd,6.947937068614969,1.7320508075688772,2.0,3,1,4,1040,1040,0,6.947937068614969,9.0,0.0,0.6931471805599453,9,8,1,1,11.771443882099637
11,3322,Fin,5,168,Norm,729,3499,NridgHt,2,3499,3.0,12551868224,0.0,2005.0,RL,Y,2005,9,998,42838260499,45,9.386392315756542,11924,Partial,12243001,8,8.160518247477505,4011,1.7320508075688772,10764582912.0,2.0,1.3862943611198906,5,48.2078831727758,7.075808863978387,0,PConc,2.23606797749979,4.0,125,3.0,2324,2208.0,2.4849066497880004,1175,7.604396348796338,3,3,15,2.0,0.0,7.04141166379481,2,48.2078831727758,3.091042453358316,5400976,736.0,2006,2.0,New,1Fam,11,6,2,2,1142,1.7320508075688772,85.0,4.454347296253507,2,3,736,1.0,2,5,3.0,9,5400976,177,5,81,21,3,4875264.0,12551868224,8.0,1,6.0,1.0,46.98936049788292,4.0,25,5.181783550292085,4,64.0,1,7,125,2,2.0,59.15234568468101,5.0,2006,6.906754778648554,16.0,0.0,1,286.0,6.602587892189336,4.997212273764115,BuiltIn,7.069874128458572,2.23606797749979,4.0,5,27,4,2324,1182,0,7.751475318021456,9.0,1.0986122886681098,0.6931471805599453,25,27,9,2,12.75130259456002
12,1649,Unf,6,316,Norm,125,1824,Sawyer,2,1824,2.23606797749979,758550528,0.0,1962.0,RL,Y,1962,5,737,6068404224,30,9.470317173335742,12968,Normal,3326976,8,7.509335266016592,3924,1.4142135623730951,1177583616.0,,0.6931471805599453,3,30.199337741083,6.816735880594968,0,CBlock,1.7320508075688772,,27,3.0,912,1056.0,1.6094379124341003,912,7.5822291942764615,1,2,9,1.4142135623730951,0.0,0.0,1,30.199337741083,0.0,831744,352.0,1962,2.0,WD,1Fam,4,4,1,2,0,1.0,,,1,1,352,1.0,0,3,3.0,4,831744,175,3,25,0,2,1115136.0,758550528,,1,5.0,1.0,32.49615361854384,,9,5.170483995038151,2,8.0,0,9,27,1,1.0,42.708313008125245,3.0,2008,6.6039438246004725,4.0,5.176149732573829,1,0.0,5.8664680569332965,4.948759890378168,Detchd,6.816735880594968,1.7320508075688772,2.0,3,1,4,912,912,176,6.816735880594968,9.0,0.0,0.6931471805599453,9,8,1,1,11.87757552297847
13,1494,RFn,5,193,Norm,343,2988,CollgCr,2,2988,2.6457513110645907,3334661784,2.0,2006.0,RL,Y,2006,7,0,26677294272,35,9.273596821611198,10652,Partial,8928144,8,8.002694162283937,4013,1.7320508075688772,16003008000.0,2.0,1.3862943611198906,4,38.65229618017538,7.3098814858247865,0,PConc,2.0,4.0,64,3.0,1494,2520.0,2.0794415416798357,1494,7.60489448081162,2,3,12,1.4142135623730951,0.0,0.0,2,38.65229618017538,3.5263605246161616,2232036,840.0,2007,1.0,New,1Fam,7,6,2,2,0,1.7320508075688772,91.0,4.5217885770490405,2,3,840,1.0,1,5,3.0,9,2232036,1494,4,49,33,3,6350400.0,3334661784,4.0,0,1.0,1.0,50.19960159204453,2.0,16,7.3098814858247865,3,8.0,1,8,64,2,2.0,54.662601474865795,4.0,2007,0.0,4.0,0.0,1,306.0,6.734591659972948,5.081404364984463,Attchd,7.3098814858247865,2.0,2.0,4,27,4,1494,1494,0,7.3098814858247865,9.0,0.6931471805599453,0.0,16,27,9,2,12.540761149388421
14,1986,RFn,5,389,Norm,216,2506,NAmes,2,2506,2.449489742783178,1967221277,0.0,1960.0,RL,Y,1960,6,733,15737770216,30,9.298442820197728,10920,Normal,6280036,8,7.826842098158293,3920,1.4142135623730951,1177583616.0,1.0,0.6931471805599453,3,35.397740040855716,7.134093721192866,1,CBlock,1.7320508075688772,2.0,27,3.0,1253,1056.0,1.791759469228055,1253,7.581209826196346,1,2,9,1.5811388300841898,0.6931471805599453,0.0,1,35.397740040855716,5.365976015021851,1570009,352.0,1960,2.0,WD,1Fam,5,4,1,2,0,1.0,,,1,1,352,1.0,1,3,3.0,4,1570009,520,3,36,213,3,1115136.0,1967221277,2.0,1,4.0,1.0,32.49615361854384,1.0,9,6.255750041753367,2,15.625,1,5,27,1,1.0,50.05996404313531,3.0,2008,6.598509028614515,6.25,0.0,1,212.0,5.8664680569332965,0.0,Attchd,7.134093721192866,1.7320508075688772,2.5,3,1,4,1253,1253,0,7.134093721192866,9.0,0.6931471805599453,0.6931471805599453,9,8,1,1,11.964007453736912
15,854,Unf,8,160,Norm,343,1686,BrkSide,3,1686,2.6457513110645907,622835864,0.0,1991.0,RM,Y,1929,7,0,4792616856,56,8.71948076085107,6120,Normal,2842596,8,7.430707082545968,3930,1.7320508075688772,5159780352.0,,1.0986122886681098,3,29.223278392404914,6.75110146893676,0,BrkTil,1.7320508075688772,,27,3.0,854,1728.0,1.791759469228055,832,7.601901959875166,1,3,9,1.0,0.0,0.0,1,29.223278392404914,4.727387818712341,729316,576.0,2001,1.0,WD,1Fam,5,9,1,2,0,1.4142135623730951,51.0,3.9512437185814275,1,2,576,1.0,0,5,3.0,9,729316,832,3,49,112,4,2985984.0,622835864,,0,1.0,1.0,41.569219381653056,,9,6.725033642166843,2,1.0,0,7,27,2,1.0,41.060930335295616,3.0,2007,0.0,1.0,0.0,1,0.0,6.3578422665081,3.8918202981106265,Detchd,6.725033642166843,1.7320508075688772,1.0,3,8,4,854,854,0,6.75110146893676,9.0,0.0,0.0,9,27,4,1,11.790564777297387
16,1582,Fin,7,0,Norm,216,2008,NAmes,3,2008,2.449489742783178,1012048064,0.0,1970.0,RL,Y,1970,6,578,8096384512,42,9.32741204356202,11241,Normal,4032064,8,7.605392364814935,3940,1.4142135623730951,2985984000.0,1.0,1.0986122886681098,3,31.68595903550972,6.912742820493176,0,CBlock,1.7320508075688772,3.0,27,3.0,1004,1440.0,1.791759469228055,1004,7.58629630715272,1,2,9,1.4142135623730951,0.0,0.0,1,31.68595903550972,0.0,1008016,480.0,1970,2.0,WD,1Fam,5,6,1,2,0,1.4142135623730951,,,1,2,480,1.0,1,5,3.0,4,1008016,426,3,36,0,3,2073600.0,1012048064,3.0,1,5.0,1.0,37.94733192202055,1.0,9,6.056784013228625,2,8.0,1,3,27,2,1.0,44.81071300481616,3.0,2010,6.361302477572996,4.0,0.0,1,180.0,6.175867270105761,0.0,Attchd,6.912742820493176,1.7320508075688772,2.0,3,8,4,1004,1004,0,6.912742820493176,9.0,0.6931471805599453,0.6931471805599453,9,8,4,1,11.91170829631447
17,1296,Unf,5,0,Norm,64,1296,Sawyer,2,1296,2.0,2176782336,,1967.0,RL,Y,1967,4,0,2176782336,20,9.286560397887591,10791,Normal,1679616,8,7.167809184316444,3934,1.4142135623730951,3709478592.0,,1.0986122886681098,6,36.0,7.167809184316444,0,Slab,1.7320508075688772,,27,3.0,1296,1548.0,1.9459101490553132,0,7.584773077612199,2,2,9,1.4142135623730951,0.0,0.0,1,36.0,0.0,1679616,516.0,1967,,WD,Duplex,6,4,2,2,0,1.4142135623730951,72.0,4.290459441148391,1,2,516,1.0,0,3,3.0,4,1679616,0,3,16,0,4,2396304.0,2176782336,,0,,1.0,39.344631145812,,9,0.0,2,8.0,0,10,27,1,,36.0,,2006,0.0,4.0,0.0,1,0.0,6.248042874508429,0.0,CarPort,0.0,1.7320508075688772,2.0,3,8,4,1296,1296,0,7.167809184316444,9.0,0.0,0.0,9,8,4,1,11.407576060361786
18,1760,Unf,5,102,RRAe,125,2228,SawyerW,2,2228,2.23606797749979,1382469544,0.0,2004.0,RL,Y,2004,5,646,11059756352,25,9.524859098381523,13695,Normal,4963984,8,7.709308333385869,4008,1.4142135623730951,5159780352.0,,1.0986122886681098,4,33.37663853655727,7.016609683894219,1,PConc,2.0,,64,3.0,1114,1728.0,1.9459101490553132,1114,7.60339933974067,1,2,9,1.5811388300841898,0.6931471805599453,0.0,1,33.37663853655727,4.634728988229636,1240996,576.0,2004,2.0,WD,1Fam,6,4,2,2,0,1.4142135623730951,66.0,4.204692619390966,1,2,576,1.0,0,5,3.0,4,1240996,468,3,25,102,4,2985984.0,1382469544,,1,6.0,1.0,41.569219381653056,,16,6.150602768446279,3,15.625,0,6,27,2,1.0,47.20169488482379,3.0,2008,6.472346294500901,6.25,0.0,1,0.0,6.3578422665081,0.0,Detchd,7.016609683894219,1.7320508075688772,2.5,4,8,4,1114,1114,0,7.016609683894219,9.0,0.0,0.6931471805599453,9,8,4,2,11.976665770490767
19,1843,Unf,6,0,Norm,125,2368,NAmes,2,2368,2.23606797749979,2400721219,0.0,1958.0,RL,Y,1958,5,504,13278380032,30,8.93075873555827,7560,Abnorml,5607424,7,7.7702232041587855,3923,1.4142135623730951,686128968.0,,0.6931471805599453,3,36.59234892706397,7.200424892944957,0,CBlock,1.7320508075688772,,27,3.0,1339,882.0,1.9459101490553132,1029,7.583756300707112,1,2,9,1.0,0.0,0.0,1,36.59234892706397,0.0,1792921,294.0,1965,1.0,COD,1Fam,6,4,1,2,0,1.0,70.0,4.2626798770413155,1,1,294,1.0,0,3,3.0,4,1792921,525,3,25,0,4,777924.0,2400721219,,0,2.0,1.0,29.698484809834994,,9,6.26530121273771,3,1.0,0,5,27,1,1.0,48.662100242385755,3.0,2009,6.22455842927536,1.0,0.0,1,0.0,5.68697535633982,0.0,Attchd,6.937314081223682,1.7320508075688772,1.0,3,1,3,1339,1339,0,7.200424892944957,9.0,0.0,0.0,9,8,1,1,11.842236406331555
20,2376,RFn,5,394,Norm,512,3534,NridgHt,2,3534,2.8284271247461903,13413413376,2.0,2005.0,RL,Y,2005,8,0,44136677304,40,9.562123369834488,14215,Partial,12489156,8,8.170468578330674,4011,1.7320508075688772,16757562879.0,2.0,1.3862943611198906,4,48.744230427815765,7.055312843339752,1,PConc,2.0,4.0,64,3.0,2376,2559.0,2.302585092994046,1158,7.604396348796338,3,3,12,1.8708286933869707,0.6931471805599453,7.105786129481271,2,48.744230427815765,5.043425116919247,5645376,853.0,2006,1.0,New,1Fam,9,6,2,2,1218,1.7320508075688772,101.0,4.624972813284271,2,3,853,1.0,1,5,3.0,9,5645376,1158,4,64,154,3,6548481.0,13413413376,4.0,0,1.0,1.0,50.586559479766954,2.0,16,7.055312843339752,4,42.875,1,11,64,2,2.0,59.447455790807396,5.0,2006,0.0,12.25,0.0,1,380.0,6.74993119378857,5.484796933490655,BuiltIn,7.055312843339752,2.0,3.5,4,27,4,2376,1158,0,7.773594467360194,9.0,0.6931471805599453,0.0,16,27,9,2,12.692506186542177
21,1108,Unf,7,205,Norm,343,1745,IDOTRR,3,1745,2.6457513110645907,1360251712,0.0,1930.0,RM,Y,1930,7,0,5313568625,49,8.915969311373605,7449,Normal,3045025,8,7.465082736399547,3880,1.7320508075688772,592704000.0,2.0,0.6931471805599453,4,33.28663395418648,7.011213987350367,0,PConc,2.0,4.0,64,3.0,1108,840.0,1.9459101490553132,637,7.576097340623111,1,3,9,1.0,0.0,0.0,1,33.28663395418648,0.0,1227664,280.0,1950,1.0,WD,1Fam,6,9,2,0,0,1.0,57.0,4.060443010546419,1,1,280,1.0,1,5,3.0,9,1227664,637,3,49,0,4,705600.0,1360251712,4.0,0,1.0,1.0,28.982753492378876,2.0,16,6.45833828334479,3,1.0,1,6,27,2,1.0,41.773197148410844,3.0,2007,0.0,1.0,0.0,1,0.0,5.638354669333745,0.0,Attchd,6.45833828334479,1.7320508075688772,1.0,4,1,4,1108,1108,0,7.011213987350367,9.0,0.6931471805599453,0.0,9,27,1,2,11.845109950883979
